timestamp,source,destination,delay,success,crdt_enabled,hop_count,throughput,packet_size,cumulative_packets,bytes_delivered
1743682811.5742633,sta1,sta2,0.0007472038269042969,True,True,1,0.1,246,1,246
1743682811.5751774,sta1,sta3,0.0010023117065429688,True,True,1,0.1,247,1,247
1743682811.576363,sta1,sta4,0.0010039806365966797,True,True,1,0.1,247,1,247
1743682811.5797672,sta1,sta5,0.0026111602783203125,True,True,1,0.1,244,1,244
1743682811.9718401,sta2,sta1,0.0015187263488769531,True,True,1,0.1,245,1,245
1743682811.9726143,sta2,sta3,0.00035762786865234375,True,True,1,0.2,247,2,494
1743682811.9741216,sta2,sta4,0.0005781650543212891,True,True,1,0.2,246,2,493
1743682811.9752924,sta2,sta5,0.0005762577056884766,True,True,1,0.2,247,2,491
1743682812.3641808,sta3,sta1,0.0006153583526611328,True,True,1,0.2,247,2,492
1743682812.3649235,sta3,sta2,0.0004146099090576172,True,True,1,0.2,247,2,493
1743682812.3671696,sta3,sta4,0.001967191696166992,True,True,1,0.3,247,3,740
1743682812.3890786,sta3,sta5,0.018262863159179688,True,True,1,0.3,247,3,738
1743682812.760294,sta4,sta1,0.000820159912109375,True,True,1,0.3,247,3,739
1743682812.7797503,sta4,sta2,0.0010123252868652344,True,True,1,0.3,247,3,740
1743682812.7804,sta4,sta3,0.00031185150146484375,True,True,1,0.3,247,3,741
1743682812.7807732,sta4,sta5,0.00022411346435546875,True,True,1,0.4,247,4,985
1743682813.1544318,sta5,sta1,0.0007734298706054688,True,True,1,0.4,247,4,986
1743682813.156411,sta5,sta2,0.0012178421020507812,True,True,1,0.4,247,4,987
1743682813.1569607,sta5,sta3,0.0006079673767089844,True,True,1,0.4,246,4,987
1743682813.1578395,sta5,sta4,0.0006396770477294922,True,True,1,0.4,247,4,987
1743682816.5892158,sta1,sta2,0.0007164478302001953,True,True,1,0.5,247,5,1234
1743682816.5904133,sta1,sta3,0.0006763935089111328,True,True,1,0.5,247,5,1234
1743682816.5918298,sta1,sta4,0.0010411739349365234,True,True,1,0.5,247,5,1234
1743682816.5929375,sta1,sta5,0.0007061958312988281,True,True,1,0.5,246,5,1231
1743682816.9823897,sta2,sta1,0.00024962425231933594,True,True,1,0.5,247,5,1233
1743682816.9830112,sta2,sta3,0.00036597251892089844,True,True,1,0.6,247,6,1481
1743682816.983231,sta2,sta4,0.0004570484161376953,True,True,1,0.6,246,6,1480
1743682816.9835608,sta2,sta5,0.00020837783813476562,True,True,1,0.6,247,6,1478
1743682817.3853292,sta3,sta1,0.0003578662872314453,True,True,1,0.6,247,6,1480
1743682817.386459,sta3,sta2,0.0009331703186035156,True,True,1,0.6,247,6,1481
1743682817.3901007,sta3,sta5,0.0011997222900390625,True,True,1,0.7,247,7,1725
1743682817.3910477,sta3,sta4,0.002412080764770508,True,True,1,0.7,247,7,1727
1743682817.7887182,sta4,sta1,0.0008685588836669922,True,True,1,0.7,247,7,1727
1743682817.79335,sta4,sta2,0.0029418468475341797,True,True,1,0.7,247,7,1728
1743682817.8095875,sta4,sta5,0.0006482601165771484,True,True,1,0.8,247,8,1972
1743682817.8108487,sta4,sta3,0.01767897605895996,True,True,1,0.7,247,7,1728
1743682818.1614668,sta5,sta2,0.00023412704467773438,True,True,1,0.8,247,8,1975
1743682818.161618,sta5,sta1,0.0006406307220458984,True,True,1,0.8,246,8,1973
1743682818.1621711,sta5,sta3,0.0003120899200439453,True,True,1,0.8,247,8,1975
1743682818.1627786,sta5,sta4,0.0003306865692138672,True,True,1,0.8,247,8,1974
1743682821.5997255,sta1,sta2,0.0008668899536132812,True,True,1,0.8,247,9,2222
1743682821.6020446,sta1,sta3,0.0004303455352783203,True,True,1,0.8,247,9,2222
1743682821.6050887,sta1,sta4,0.0008151531219482422,True,True,1,0.8,247,9,2221
1743682821.6076124,sta1,sta5,0.0009243488311767578,True,True,1,0.8,246,9,2218
1743682821.9938102,sta2,sta1,0.0016269683837890625,True,True,1,0.8,247,9,2220
1743682821.9964545,sta2,sta3,0.0010533332824707031,True,True,1,0.8,247,10,2469
1743682821.9967842,sta2,sta4,0.0008144378662109375,True,True,1,0.8,247,10,2468
1743682822.0006037,sta2,sta5,0.0013430118560791016,True,True,1,0.8,246,10,2464
1743682822.393476,sta3,sta1,0.0004475116729736328,True,True,1,0.8,247,10,2467
1743682822.3981552,sta3,sta2,0.003664255142211914,True,True,1,0.8,247,10,2469
1743682822.4078553,sta3,sta4,0.0027375221252441406,True,True,1,0.8,246,11,2714
1743682822.4161727,sta3,sta5,0.004599809646606445,True,True,1,0.8,248,11,2712
1743682822.8259654,sta4,sta1,0.0023741722106933594,True,True,1,0.8,246,11,2713
1743682822.8402839,sta4,sta2,0.0015540122985839844,True,True,1,0.8,247,11,2716
